SMPLID	Mophological.cluster.G4_0	Mophological.cluster.G4_1	Mophological.cluster.G4_2	Mophological.cluster.G4_3	Mophological.cluster.G4_4	Mophological.cluster.G4_5	Mophological.cluster.G4_6	Mophological.cluster.G4_7	Mophological.cluster.G4_8	Mophological.cluster.G4_9	Mophological.cluster.G4_10	Mophological.cluster.G4_11	Mophological.cluster.G4_12	Mophological.cluster.G4_13	Mophological.cluster.G4_14	Mophological.cluster.G4_15	Mophological.cluster.G4_16	Mophological.cluster.G4_17	Mophological.cluster.G4_18	Mophological.cluster.G4_19	Mophological.cluster.G4_20	Mophological.cluster.G4_21	Mophological.cluster.G4_22	Mophological.cluster.G4_23	Mophological.cluster.G4_24	Mophological.cluster.G4_25	Mophological.cluster.G4_26	Mophological.cluster.G4_27	Mophological.cluster.G4_28	Mophological.cluster.G4_29	Mophological.cluster.G4_30	Mophological.cluster.G4_31
GTEX.1128S.2626	646	1053	165	21	314	405	992	323	1476	678	892	235	24	561	138	193	897	411	85	903	861	440	129	249	651	470	169	499	197	98	167	1547
GTEX.113JC.2826	663	386	35	22	109	297	491	135	13	129	3920	468	12	542	583	1685	48	134	11	287	384	450	17	209	724	1749	119	69	126	8	45	1132
GTEX.117XS.2926	205	92	192	117	0	134	87	120	42	233	1	22	106	7	23	3	97	97	411	65	31	62	178	10	8	4	21	9	38	100	152	60
GTEX.117YW.2826	96	315	506	139	34	192	62	191	25	900	634	162	103	72	431	77	63	813	37	427	82	75	1	149	36	535	753	26	42	323	109	750
GTEX.1192W.3026	1	194	52	89	1	282	441	176	41	1062	1177	324	255	215	1113	259	109	35	231	561	181	93	111	42	11	55	25	20	769	358	543	164
GTEX.1192X.3026	156	24	203	232	181	329	309	162	257	433	113	10	117	247	144	256	686	88	217	158	47	155	203	341	1287	245	18	161	377	275	171	1059
GTEX.11DXW.1226	139	11	32	7	3	61	14	35	237	39	224	19	0	0	41	366	128	293	8	34	8	16	46	23	278	232	48	15	238	38	15	304
GTEX.11DXY.3026	256	115	371	172	33	176	139	159	59	124	1	78	50	56	32	19	170	151	49	88	63	74	80	9	716	122	226	5	136	72	133	426
GTEX.11DYG.3126	19	213	24	119	3	181	106	92	228	76	0	651	288	66	26	2	3	5	99	99	338	72	0	61	0	3	205	94	15	92	132	2
GTEX.11EI6.3126	10	11	31	325	0	24	62	107	4	31	1	0	233	4	42	1	6	81	146	13	2	9	7	6	0	10	0	2	43	31	211	4
GTEX.11EMC.3126	79	41	415	192	33	343	461	247	136	565	303	3	198	227	268	140	481	1071	245	1204	203	202	54	42	137	147	62	37	210	637	376	639
GTEX.11GS4.3026	595	199	909	287	69	438	333	239	236	261	898	596	49	173	589	53	90	866	3	852	138	191	2	54	94	2031	1242	63	5	2046	121	379
GTEX.11GSO.2826	39	305	97	692	128	297	965	458	148	199	0	4	843	497	312	15	48	778	63	217	154	299	77	70	12	250	233	147	49	859	798	57
GTEX.11GSP.3026	9	915	406	228	0	134	138	160	1	280	2	8	291	12	23	1	289	71	508	38	33	42	122	44	24	0	142	25	9	94	370	32
GTEX.11NUK.3126	103	0	19	159	11	183	118	24	2	141	141	0	458	38	264	9	15	144	267	232	14	52	36	11	2	28	0	2	122	109	250	12
GTEX.11NV4.2326	138	0	43	332	12	151	53	0	29	169	12	0	370	53	168	5	30	78	148	189	6	57	44	3	1	16	0	2	77	606	45	5
GTEX.11O72.3026	132	0	28	45	23	12	10	29	2	43	132	0	35	72	419	55	1	245	1	43	9	68	0	14	0	141	0	14	88	105	28	16
GTEX.11OF3.3026	116	94	16	470	1	75	241	101	40	41	5	3	399	181	135	2	0	30	74	3	43	109	8	13	0	7	287	13	56	42	221	2
GTEX.11ONC.2826	416	178	817	311	20	262	100	12	9	109	42	82	96	45	32	0	5	1173	9	190	61	64	0	61	5	180	2	10	11	276	38	235
GTEX.11TUW.3026	293	1	493	183	7	263	81	174	30	180	9	0	178	22	56	26	88	622	285	244	132	74	165	25	122	51	0	4	50	688	203	48
GTEX.11WQK.3226	346	20	25	48	1	21	130	23	7	11	0	0	72	18	4	0	63	38	254	0	2	14	109	11	72	6	4	5	34	1	289	30
GTEX.11ZTS.3326	44	261	414	14	12	190	261	116	67	123	11	298	17	119	38	56	246	148	17	92	1243	201	51	62	397	126	111	12	57	91	28	612
GTEX.11ZUS.3026	14	48	44	348	0	78	42	217	19	24	0	11	421	1	24	1	33	247	356	109	76	22	125	11	2	1	9	9	79	125	250	0
GTEX.11ZVC.3226	77	459	21	33	15	55	155	138	11	191	20	5	159	15	136	51	137	141	147	17	31	72	38	25	52	118	283	0	76	1	226	130
GTEX.12126.1126	204	9	358	65	186	77	108	14	8	9	88	0	1	263	29	15	0	403	4	8	79	197	0	112	1	725	3	112	44	59	4	107
GTEX.1212Z.2926	150	666	435	268	4	293	67	62	49	343	2	1	206	148	41	0	283	380	128	423	40	61	141	67	307	15	109	11	19	635	79	188
GTEX.12584.3126	156	1024	731	180	22	139	64	73	26	178	1	322	16	84	42	42	311	596	45	42	139	158	95	44	2163	56	42	24	105	233	39	854
GTEX.12696.3126	105	65	53	189	208	244	613	329	37	20	3	42	184	877	104	0	1	388	66	6	88	245	6	154	4	25	184	307	41	2	244	44
GTEX.1269C.3226	44	1	85	19	47	87	46	59	7	102	622	0	7	179	255	35	12	319	0	268	51	125	1	37	1	279	0	8	20	327	33	38
GTEX.12WSC.3126	3	83	1	129	5	45	135	34	1	11	7	0	518	222	235	0	0	36	10	24	14	112	0	30	0	6	0	13	13	16	162	0
GTEX.12WSD.3226	77	282	29	80	1	416	170	124	8	205	1	88	236	44	44	5	210	111	339	267	191	125	383	72	308	43	110	103	100	71	196	131
GTEX.12WSE.3126	38	0	29	345	0	82	6	157	241	81	10	0	144	0	515	143	33	35	41	41	9	18	12	8	2	40	0	23	716	220	210	1
GTEX.12WSF.3026	0	108	1	34	1	21	263	41	2	12	0	88	59	6	16	0	7	2	105	6	108	40	22	5	0	0	20	2	35	3	58	1
GTEX.12WSH.2926	180	136	190	246	20	99	97	127	112	320	4	58	148	123	139	67	299	48	80	43	30	102	36	18	16	27	252	7	124	532	45	19
GTEX.12WSM.2226	22	95	19	306	6	163	147	17	3	39	0	0	203	144	9	0	28	182	343	92	53	131	495	41	7	2	9	31	78	84	90	20
GTEX.12ZZW.3026	0	17	0	0	58	51	44	135	0	0	0	545	1	54	5	0	0	0	0	6	440	114	0	215	0	2	0	19	0	0	57	0
GTEX.12ZZX.3026	2	44	0	2	0	79	8	142	281	21	87	330	0	0	157	461	12	1	9	30	73	6	29	48	130	474	141	21	270	0	31	32
GTEX.12ZZY.3126	226	123	73	177	0	135	133	72	16	33	0	12	202	9	3	0	25	13	341	40	42	16	132	53	25	9	40	65	193	9	308	8
GTEX.13112.3126	56	18	102	122	4	51	156	82	57	69	0	2	35	343	14	0	34	13	41	12	33	157	24	13	25	2	0	7	16	40	80	137
GTEX.1313W.3226	578	4	307	36	0	119	0	165	100	70	8	60	31	0	53	24	22	372	48	56	103	4	20	50	76	76	26	93	71	109	55	114
GTEX.131XW.3226	7	89	4	56	0	131	44	50	3	73	91	235	156	32	320	73	65	13	54	107	133	42	80	3	26	66	48	4	577	67	144	10
GTEX.131YS.3226	52	74	1	3	1	34	72	119	789	28	28	44	2	117	43	87	27	23	1	0	36	50	3	60	152	132	181	59	38	0	28	436
